nbr,Key,Title,"Publication year",Author/s,Venue,Source,"Search Type",Reviewer/s,"Template style","Comment for Template style","Design-time input type","Comment for Design-time input type",Tool,"Comment for tool","Run-time input type","Comment for Run-time input type","Output type","Comment for output_type",MDE,Context,Validation,"Application scale","Application domain",Orientation,"Publication type","Venue type","Publication name",Year,Notes
404,paper_404,"An Agile and Extensible Code Generation Framework",2005,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Velocity,,"General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,SE,XP,2005,
405,paper_405,"A tool to support Bluespec SystemVerilog coding based on UML diagrams",2012,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Velocity,,"General purpose","Class diagram, Activity diagram","Source code","Bluespec System Verilog code",Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,IECON,2012,
406,paper_406,"Translator of Hierarchical State Machine from UML Statechart to the Event Processor Pattern",2007,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Velocity,,"General purpose","State diagram","Source code",C++,Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,MIXDES,2007,
407,paper_407,"An Architecture for Implementing Application Interoperation with Heterogeneous Systems",2005,,,,,Admin,Output-based,"Not shown",Schema,,Velocity,,"Structured data",XML,"Structured data","code descriptions",No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,DAIS,2005,
408,paper_408,"CLOPS: A DSL for Command Line Options",2009,,,,,Admin,Output-based,"Not shown","Domain specific","CLOPS ",Velocity,,"Domain specific","CLOPS model","Structured data",Documentation,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Other,MDE,DSL,2009,
409,paper_409,"Automatic Generation of RIAs Using RUX-Tool and Webratio",2009,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",Velocity,,"Domain specific","Not specified","Structured data",HTML,Yes,Intermediate,"No validation","Large scale","Web technology",Academic,Other,Other,ICWE,2009,
410,paper_410,"Automatic Generation of Wrapper Code and Test Scripts for Problem Solving Environments",2006,,,,,Admin,Output-based,"Not shown",Schema,,Velocity,,"Structured data","User input","Source code","IDL, Java",No,Standalone,"No validation","Small scale","Dist. Sys",Industry,Other,Other,PARA,2006,
411,paper_411,"Generating Code from UML with Velocity Templates.",2002,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Velocity,,"General purpose","Class diagram, Activity diagram","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,MDE,MODELS,2002,
412,paper_412,"Evolution and Maintenance of MDA Applications",2005,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Velocity,,"General purpose","Class diagram","Source code",Java,Yes,Intermediate,"No validation","Small scale","Software engineering",Academic,Other,Other,,2005,
413,paper_413,"Engineering Runtime Requirements-Monitoring Systems Using MDA Technologies.",2005,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Velocity,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,TGC,2005,
414,paper_414,"Techniques for lightweight generator refactoring",2006,,,,,Admin,Output-based,"Visible template","Domain specific","Not specified",Velocity,,"Domain specific","Not specified","Source code",Java,Yes,Standalone,"No validation","Large scale",Refactoring,Academic,Conference,SE,GTTSE,2006,
415,paper_415,"Towards roundtrip engineering - A template-based reverse engineering approach",2008,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Velocity,,"General purpose","Class diagram","Source code",Java,Yes,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,MDE,ECMFA,2008,
416,paper_416,"Integrating template based code generation into graphical model transformation",2008,,,,,Admin,Output-based,,"General purpose","UML ",Velocity,,"General purpose","Activity diagram","Source code",Java,Yes,Last,"No validation","Large scale","Software engineering",Academic,Conference,SE,ICASE,2008,
417,paper_417,"Genesys: service-oriented construction of property conform code generators",2008,,,,,Admin,Output-based,"Visible template","Domain specific",jABC,Velocity,,"Domain specific","jABC model","Source code",Java,Yes,Standalone,"No validation","Large scale","Mobile systems",Academic,Journal,MDE,SOSYM,2008,
418,paper_418,"A Survey of Agent-oriented Development Tools.",2009,,,,,Admin,Output-based,"Not shown","Domain specific",AML,Velocity,,"Domain specific",,"Source code",Java,Yes,Intermediate,"No validation","Large scale",Testing,Academic,Other,Other,,2009,
419,paper_419,"Model Driven Software Development of Applications Based on Web Services",2010,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Velocity,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Web technology",Academic,Conference,Other,ICCSA,2010,
420,paper_420,"A constraint-based variability modeling framework",2012,,,,,Admin,Output-based,"Not shown","Domain specific",jABC,Velocity,,"Domain specific","jABC model","Source code",Java,Yes,Standalone,"No validation","Large scale","Mobile systems",Academic,Journal,SE,STTT,2012,
421,paper_421,"An Automated Model Based Approach to Mobile UI Specification and Development",2016,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",Velocity,,"Structured data",XML,"Source code",Java,No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,HCI,2016,
422,paper_422,"An Ontology-Driven Approach for Modeling a Multi-agent-Based Electricity Market",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Velocity,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Small scale",Other,Academic,Conference,Other,MATES,2016,
423,paper_423,"Automation of grid service code generation with AndroMDA for GT3",2005,,,,,Admin,Output-based,"Not shown ","General purpose","UML ",Velocity,,"General purpose","Class diagram","Source code","Java, XML",Yes,Standalone,"No validation","No application","Dist. Sys",Academic,Conference,Other,AINA,2005,
424,paper_424,"Quality Assurance and Certification of Software Modules in Safety Critical Automotive Electronic Control Units Using a CASE-Tool Integration Platform",2006,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Velocity,,"General purpose",,"Source code","Java,C++",Yes,Last,"No validation","Small scale","Software engineering",Industry,Other,Other,ASWSD,2006,
425,paper_425,"Model-Driven SoC Design: The UML-SystemC Bridge",2005,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Velocity,,"General purpose","UML diagrams","Source code",SystemC,Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Other,Other,,2005,
426,paper_426,"Generating VHDL Source Code from UML Models of Embedded Systems",2010,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Velocity,,"General purpose","UML diagrams","Source code","VHDL code",Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,DIPES,2010,
427,paper_427,"Synthesis Tool for Automation Controller Supervision",2016,,,,,Admin,Output-based,"Not shown","General purpose",,Velocity,,"General purpose",,"Source code",,No,Intermediate,"No validation","Small scale","Embedded systems",Academic,Other,Other,WODES,2016,
428,paper_428,"Construction and evolution of code generators: A model-driven and service-oriented approach",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Xpand," Acceleo, JET, Velocity, StringTemplate. List of template based code generation","General purpose","Class diagram","Source code",,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Other,Other,,2013,
429,paper_429,"Models for automatic generation of safety-critical real-time systems",2007,,,,,Admin,Output-based,"Not shown ","Domain specific","Custom language",Xpand,OpenArchitectureWare,"Domain specific",Custom,"Source code","C, C++",Yes,Standalone,"No validation","Small scale","Embedded systems",Academic,Conference,Other,ARES,2007,
430,paper_430,"An Aspect-oriented, Model-driven Approach to Functional Hardware Verification",2012,,,,,Admin,Output-based,,"General purpose","UML ",Xpand,"plus Java extensions","General purpose","Class diagram","Source code","e code ",Yes,Intermediate,"No validation","Large scale",Aspect-oriented,Academic,Journal,SE,JSA,2012,
431,paper_431,"An Open source Domain-Specific Tools Framework to Support Model Driven Development of OSS",2007,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,MDE,ECMFA,2007,
432,paper_432,"MGSyn: Automatic synthesis for industrial automation.",2012,,,,,Admin,Output-based,"Not shown","General purpose",Ecore,Xpand,,"General purpose",,"Source code",C++,Yes,Standalone,"No validation","Small scale","Embedded systems",Industry,Conference,Other,CAV,2012,
433,paper_433,"A Model-driven Software Environment for Modeling",2011,,,,,Admin,Output-based,"Visible template","General purpose",DML,Xpand,,"General purpose","DML model","Source code","DEVS-MS code",Yes,Last,"No validation","Large scale","Simulation ",Academic,Conference,Other,PSTMS,2011,
434,paper_434,"Model based development of safety-critical systems using template based code generation",2007,,,,,Admin,Output-based,"Not shown ","General purpose",Ecore,Xpand,,"General purpose","Class diagram","Source code","Exceutable for run-time systems",Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,ISDC,2007,
435,paper_435,"MDE4HPC: An Approach for Using Model-Driven Engineering in High-Performance Computing.",2012,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","Class diagram","Source code",Fortran,Yes,Intermediate,"No validation","No application","Software engineering",Industry,Journal,Other,ISSM,2012,
436,paper_436,"Model-Based Performance Instrumentation of Distributed Applications",2008,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,DAIS,2008,
437,paper_437,"A Model Driven Architecture Approach to Web Development",2009,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Xpand,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Web technology",Academic,Conference,SE,ENASE,2009,
438,paper_438,"Aspect-Oriented Model-Driven Software Product Line Engineering",2009,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Xpand,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Large scale",Aspect-oriented,Industry,Journal,SE,TAOSD,2009,
439,paper_439,"Modeling variability in template-based code generators for product line engineering",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Xpand,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,MODELLIERUNG,2016,
440,paper_440,"A Generic Approach to Run Mutation Analysis",2010,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","UML diagrams","Source code","Java, C",Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,"TAIC PART",2010,
441,paper_441,"A CASE Tool for Robot Behavior Development",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","State diagram","Source code","Java, C++",Yes,Intermediate,"No validation","Large scale",Robotics,Academic,Other,Other,,2013,
442,paper_442,"A Model-Driven Framework for Developing Web Service Oriented Applications",2012,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Xpand,,"General purpose","Class diagram","Structured data","Java, C++, HTML",Yes,Standalone,"No validation","Large scale","Web technology",Academic,Conference,Other,ICWE,2012,
443,paper_443,"UML-Based Specification and Generation of Executable Web Services",2011,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Xpand,,"General purpose","Class diagram","Natural language","Natural language, Java",Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,SAM,2011,
444,paper_444,ROMAS-Magentix2,2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,Xpand,,"General purpose","UML diagrams","Structured data",Patterns,Yes,Last,"No validation","Small scale","Software engineering",Academic,Journal,Other,LGT,2016,
445,paper_445,"Automated verification of model transformations based on visual contracts",2013,,,,,Admin,Output-based,"Not shown","General purpose",GMF,Xpand,,"General purpose","GMF diagrams","Structured data","QVT code",Yes,Intermediate,"No validation","Large scale","Software engineering",Academic,Journal,SE,ASE,2013,
446,paper_446,"Reference Attribute Grammars for Metamodel Semantics",2011,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","Class diagram","Source code","Siple code",Yes,Last,"No validation","Large scale","Software engineering",Academic,Conference,MDE,SLE,2011,
447,paper_447,"Integrating Component and Product Lines Technologies",2008,,,,,Admin,Output-based,"Visible template","General purpose",Ecore,Xpand,,"General purpose",,"Source code","Text and code",Yes,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,Other,ICSR,2008,
448,paper_448,"A Transversal Alignment between Measurements and Enterprise Architecture for Early Verification of Telecom Service Design",2013,,,,,Admin,Output-based,"Not shown","Domain specific",IMS,Xpand,,"Domain specific","IMS model","Source code","Text, code",Yes,Last,"No validation","Large scale",Networking,Academic,Other,Other,EUNICE,2013,
449,paper_449,"Generating a tailored middleware for wireless sensor network applications",2008,,,,,Admin,Output-based,"Visible template","Domain specific","Custom language",Xpand,,"Domain specific",Custom,"Source code","TinyOS code",Yes,Standalone,"No validation","Small scale",Networking,Academic,Conference,Other,SUTC,2008,
450,paper_450,"Model-Driven Engineering and Optimizing Compilers: A Bridge Too Far?",2011,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose",,"Source code","VHDL code, SystemC",Yes,Last,"No validation","No application",Compiler,Academic,Conference,MDE,MODELS,2011,
451,paper_451,"Staged Translation of Graph Transformation Rules",2015,,,,,Admin,Output-based,"Not shown","General purpose",Ecore,Xpand,,"General purpose","Ecore diagram","Source code",Xcore,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,MODELS,2015,
452,paper_452,"Model Driven Software Development in the Context of Embedded Component Infrastructures",2005,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","Class diagram","Source code",,Yes,Standalone,"No validation","Large scale","Embedded systems",Industry,Other,Other,,2005,
453,paper_453,"Linking Telecom Service High-Level Abstract Models to Simulators Based on Model Transformations: The IMS Case Study",2012,,,,,Admin,Output-based,"Not shown","Domain specific",IMS,Xpand,,"Domain specific","IMS model","Natural language",,Yes,Last,"No validation","Large scale",Networking,Academic,Other,Other,EUNICE,2012,
454,paper_454,"A Template Engineering Based Framework for Automated Software Development",2006,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",XSLT,"plus Velocity","Structured data",XML,"Source code","Java OM and SQL generated by VTL and Control code by XSLT",Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Other,Other,CSCWD,2006,
455,paper_455,"UML-based modeling of data-oriented WEB applications.",2006,,,,,Admin,Output-based,"Visible template",Schema,XML-Schema,XSLT,,"Structured data",XMI,"Structured data"," Xforms",Yes,Last,"No validation","Small scale","Web technology",Academic,Journal,Other,JUCS,2006,
456,paper_456,"A graph-based approach to transform XML documents",2006,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",XSLT,,"Structured data",XML,"Source code",Any,No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,SE,FASE,2006,
457,paper_457,"Running Android Applications without a Virtual Machine",2012,,,,,Admin,Output-based,"Visible template","Programming Language",,XSLT,,"Source code",Java,"Source code",C,No,Standalone,"No validation","Large scale","Mobile systems",Academic,Conference,Other,MOBILWARE,2012,
458,paper_458,"Generating Code from LTE Models",2013,,,,,Admin,Output-based,"Not shown",Schema,,XSLT,,"Structured data",XML,"Source code",C,No,Intermediate,"No validation","Large scale",Networking,Academic,Conference,Other,PLMP,2013,
459,paper_459,"Panda: A pattern-based programming system for automatic code generation",2008,,,,,Admin,Output-based,"Their own approach is not template based but the comparitive example is on XSLT. Not shown",Schema,,XSLT,,"Structured data",,"Source code",C#,No,Standalone,"No validation","Large scale","Software engineering",Industry,Journal,Other,JOT,2008,
460,paper_460,"Cross-Compiling Android Applications to Windows Phone 7",2012,,,,,Admin,Output-based,"Visible template","Programming Language",,XSLT,,"Source code",Java,"Source code",C#,No,Standalone,"No validation","Large scale","Mobile systems",Academic,Conference,Other,MOBICASE,2012,
461,paper_461,"Generative Development of Object-Oriented Frameworks.",2003,,,,,Admin,Output-based,"Visible template",Schema,XML-Schema,XSLT,,"Structured data",XML,"Source code",C++,No,Standalone,"No validation","Large scale","Software engineering",Academic,Other,Other,,2003,
462,paper_462,"A novel approach to automatic code generation for automatic train protection",2012,,,,,Admin,Output-based,"Visible template",Schema,,XSLT,,"Structured data",XML,"Source code",C++,No,Standalone,"No validation","Large scale",Security,Academic,Journal,Other,IJICIC,2012,
463,paper_463,"CZT support for Z extensions",2005,,,,,Admin,Output-based,"Not shown",Schema,XML-Schema,XSLT,,"Structured data",XML,"Source code",Java,No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,IFM,2005,
464,paper_464,"Lifting transformational models of product lines: A case study. ",2008,,,,,Admin,Output-based,"Visible template",Schema,XML-Schema,XSLT,,"Structured data",XML,"Structured data",JavaScript,No,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,MDE,ICMT,2008,
465,paper_465,"Tools for Model-Based Development of Web Applications",2003,,,,,Admin,Output-based,"Not shown",Schema,"ER schema",XSLT,,"Structured data",XML,"Structured data","JSP template, XML descriptor",No,Intermediate,"No validation","Large scale","Web technology",Academic,Other,Other,,2003,
466,paper_466,"ModelML: A markup language for automatic model synthesis",2007,,,,,Admin,Output-based,"Visible template",Schema,"XML schema",XSLT,,"Structured data",XML,"Structured data","Model code",No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ICIRI,2007,
467,paper_467,"A novel model-driven approach to support development cycle of robotic systems",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,XSLT,,"General purpose","UML diagrams","Structured data","Orocos Components",Yes,Standalone,"No validation","Large scale",Robotics,Academic,Journal,Other,"Adv Manuf Technol",2016,
468,paper_468,"Transformation for designing distributed Internet information systems under model driven architecture.",2005,,,,,Admin,Output-based,"Visible template","General purpose","UML ",XSLT,,"General purpose","State diagram","Source code","PHP, SQL",Yes,Last,"No validation","Small scale","Software engineering",Academic,Journal,Other,ITC,2005,
469,paper_469,"Template-driven agent-based modeling and simulation with CUDA",2011,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",XSLT,,"Structured data",XML,"Source code","Simulation code",No,Standalone,"No validation","Large scale","Simulation ",Academic,Other,Other,,2011,
470,paper_470,"A SysML Profile for Development and Early Validation of TLM 2.0 Models",2011,,,,,Admin,Output-based,"Not shown","General purpose","UML ",XSLT,,"General purpose","UML diagrams","Source code",SystemC,Yes,Last,"No validation","Small scale","Software engineering",Academic,Conference,MDE,ECMFA,2011,
471,paper_471,"Modeling Data-Oriented Web Applications using UML",2005,,,,,Admin,Output-based,"Target text with placeholders","General purpose","UML ",XSLT,,"General purpose","UML diagrams","Structured data","XML schema",Yes,Last,"No validation","Small scale","Web technology",Academic,Conference,Other,CT,2005,
472,paper_472,"The Bespoke Framework Generator",2012,,,,,Admin,Output-based,"Not shown",Schema,,XSLT,,"Structured data",XML,"Source code",,No,Intermediate,"No validation","Large scale","Software engineering",Academic,Journal,Other,ESM,2012,
473,paper_473,"Data Transformation Using Custom Class Generator as Part of Systems Integration in Manufacturing Company",2016,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",XSLT,,"Structured data",XML,"Natural language",,No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,ICCN,2016,
474,paper_474,"Building Code Generators for DSLs Using a Partial Evaluator for the Xtend Language",2014,,,,,Admin,Output-based,"Visible template","Domain specific",,Xtend,Xtend,"Domain specific",,"Source code",C,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,Other,ISOLA,2014,
475,paper_475,"From Helena Ensemble Specifications to Executable Code",2015,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",Xtend,Xtend,"Domain specific","Helena Text","Source code",jHelena,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,FACS,2015,
476,paper_476,"Modeling and generating native code for cross-platform mobile applications using DSL",2016,,,,,Admin,Output-based,"Not shown","Domain specific",,Xtend,Xtend,"Domain specific",,"Source code",,Yes,Standalone,"No validation","Small scale","Mobile systems",Academic,Journal,Other,AutoSoft,2016,
477,paper_477,"DSL Approach for Development of Gaming Applications",2016,,,,,Admin,Output-based,"Not shown","General purpose",,Xtend,Xtend,"General purpose","Ecore diagram","Source code",,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,INDIA,2016,
478,paper_478,"Automatically propagating changes from reference implementations to code generation templates",2015,,,,,Admin,Output-based,"Visible template",Schema,,JET,,"Structured data",XML,"Source code",C,No,Intermediate,"User study","Large scale","Software engineering",Academic,Journal,SE,INFOSOFT,2015,
479,paper_479,"A framework for developing home automation systems: From requirements to code",2011,,,,,Admin,Output-based,"Visible template","Domain specific",,JET,,"Domain specific","KNX model","Source code","VBScript macro",Yes,Last,"User study","Large scale",Other,Academic,Journal,SE,JSS,2011,
480,paper_480,"Benefits of using domain model code generation framework in medical information systems",2015,,,,,Admin,Output-based,"Not shown ","Domain specific",OpenEHR,Unspecified,,"Domain specific",,"Source code","GUI elements",Yes,Last,"User study","Large scale",Bio-med,Academic,Conference,Other,SQAMIA,2015,
481,paper_481,"Source Code Generation For Large Scale Applications",2013,,,,,Admin,Output-based,"Visible template",Schema,"Database schema",XSLT,,"Structured data",XML,"Source code","C#, java, html, javascript, sql, etc",No,Standalone,"User study","Large scale","Software engineering",Industry,Conference,Other,TAEECE,2013,
